"TypeCode","FreqCode","RefPeriodId","RefYear","RefMonth","Period","ReporterCode","ReporterISO","ReporterDesc","FlowCode","FlowDesc","PartnerCode","PartnerISO","PartnerDesc","Partner2Code","Partner2ISO","Partner2Desc","ClassificationCode","ClassificationSearchCode","IsOriginalClassification","CmdCode","CmdDesc","AggrLevel","IsLeaf","CustomsCode","CustomsDesc","MosCode","MotCode","MotDesc","QtyUnitCode","QtyUnitAbbr","Qty","IsQtyEstimated","AltQtyUnitCode","AltQtyUnitAbbr","AltQty","IsAltQtyEstimated","NetWgt","IsNetWgtEstimated","GrossWgt","IsGrossWgtEstimated","Cifvalue","Fobvalue","PrimaryValue","LegacyEstimationFlag","IsReported","IsAggregate",
"C","A","20000101","2000","52","2000","704","VNM","Viet Nam","X","Export","40","AUT","Austria","0","W00","World","H1","HS","true","030613","Crustaceans; shrimps and prawns, frozen (whether in shell or not, whether or not cooked by steaming or by boiling in water)","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","22209","true","-1","N/A",,"false","22209","true",,"false",,"155000","155000","6","false","false",
"C","A","20020101","2002","52","2002","704","VNM","Viet Nam","X","Export","40","AUT","Austria","0","W00","World","H1","HS","true","030619","Crustaceans; frozen, n.e.s. in item no. 0306.1 (whether in shell or not, whether or not cooked by steaming or by boiling in water)","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","36480","true","-1","N/A",,"false","36480","true",,"false",,"207932","207932","6","false","false",
"C","A","20010101","2001","52","2001","704","VNM","Viet Nam","X","Export","40","AUT","Austria","0","W00","World","H1","HS","true","160414","Fish preparations; tunas, skipjack and Atlantic bonito (sarda spp.), prepared or preserved, whole or in pieces (but not minced)","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","54512","true","-1","N/A",,"false","54512","true",,"false",,"123143","123143","6","false","false",
